p105_helpAI/Fundraising,p303_funding,p303_funding/International_cooperation,p303_funding/Individual_donations,p303_funding/Private_companies,p303_funding/Public_funds,p303_funding/Fun-raising_activities,p303_funding/Sale_of_services,p303_funding/Endowments,p303_funding/Loans,p303_funding/Other,p305_new_funding,p305_new_funding_detail,p305_new_funding_strategy,p308_prepared_funding,p309_funding_staff,p310_funding_docs,p310_funding_docs/Strategic_plan,p310_funding_docs/Portfolio,p310_funding_docs/Donor_database,p310_funding_docs/Proposal_templates,p310_funding_docs/Comms_strategy,p310_funding_docs/Resource_mobilization_strategy,p310_funding_docs/Other,p311_funding_plans,p312_funding_priorities,p320_other_funding,p322_expectations/Comms_for_fundraising,p322_expectations/Emerging_funding,p322_expectations/Impact_funds,p325_funding_barriers,temp_id
0.0,International_cooperation Individual_donations Endowments,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,"We identified funding resources through thorough research, networking, donor mapping, analysis of past funding trends, attending relevant forums, and using online platforms and databases focused on donor information and grant opportunities.","Our strategy to achieve results was to set clear goals, work as a team with everyone having their own tasks, connect with the right people, use digital tools to help us, and regularly check our progress to stay on track and make improvements when needed.",5.0,No,Strategic_plan Portfolio Donor_database Proposal_templates Comms_strategy Resource_mobilization_strategy,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"We follow a structured process to seek and prioritize funding opportunities, which includes regularly monitoring donor platforms and websites, conducting donor mapping, discussing opportunities in team meetings, assessing alignment with our organizational goals and community needs, and then prioritizing those that match our capacity and impact areas","1.Women and youth empowerment through education, skills development, and leadership initiatives
2.Health and reproductive rights, with a focus on access to quality services in underserved areas
3. Climate change and disaster risk reduction to build resilient communities
4. Democratic governance and civic engagement to strengthen citizen participation
5. Digital transformation and innovation to improve service delivery and outreach
6. Strengthening institutional capacity for long-term sustainability and impact",,1.0,1.0,1.0,"Our organization faces institutional barriers such as limited long-term funding support, lack of flexible funding for core operations.",25
0.0,International_cooperation Individual_donations Endowments,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,"We identified these donors through thorough research, networking, donor mapping, analysis of past funding trends, attending relevant forums, and using online platforms and databases focused on donor information and grant opportunities.","Our strategy to achieve results was to set clear goals, work as a team with everyone having their own tasks, connect with the right people, use digital tools to help us, and regularly check our progress to stay on track and make improvements when needed.",5.0,Yes,Strategic_plan Portfolio Donor_database Proposal_templates Comms_strategy Resource_mobilization_strategy,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"We follow a structured process to seek and prioritize funding opportunities, which includes regularly monitoring donor platforms and websites, conducting donor mapping, discussing opportunities in team meetings, assessing alignment with our organizational goals and community needs, and then prioritizing those that match our capacity and impact areas.","Women and youth empowerment through education, skills development, and leadership initiatives
Health and reproductive rights, with a focus on access to quality services in underserved areas
Climate change and disaster risk reduction to build resilient communities
Democratic governance and civic engagement to strengthen citizen participation
Digital transformation and innovation to improve service delivery and outreach
Strengthening institutional capacity for long-term sustainability and impact",,1.0,1.0,1.0,Our organization faces institutional barriers such as limited long-term funding support and a lack of flexible funding for core operations.,26
,International_cooperation Public_funds Other,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,individual research attempting to diversify sources of financial support,No specific strategy - we sized the opportunity of grants open.,2.0,No,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,We are undergoing a consultancy with external specialists to structure our work in this area.,To be identified with the external consultants soon.,Membership fees.,0.0,1.0,1.0,Lack of internal capacity and specific knowledge.,27
1.0,International_cooperation Fun-raising_activities Sale_of_services,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Yes,"Call for proposal, donor relations, review the strategic framework of the donor agencies in Cambodia which fit to the mandate of the organization.","1. Participate in the donor strategic framework development such as EU, DCA, etc...
2. Volunteer in the working group, task force, steering committee, network to build good networking and relation with donors and organizational performance and credibility to the external. 
3. Sale initiative to the donor and volunteer to start the initiative.",4.0,No,Strategic_plan Portfolio Donor_database Proposal_templates Comms_strategy Resource_mobilization_strategy,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"1. Keep track on the global funding trend
2. Adjust the program intervention and priority based on the funding trend, government priority, and the community needs
3. Mapping and identify key stakeholders at the country level","1. Legal framework and policy engagement at the national level with more focus on the digital/cyber
2. Development of the CSO resource hub while the funding reduction.
3. Engagement with private sector on the Business Due Diligence.","- Membership fee
- Consultancy fee
- Training fee
- Sale of publication",1.0,1.0,1.0,No fundraising team,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
,International_cooperation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Appel à propositions de projets.,Meilleure du problème.,2.0,Other,Strategic_plan Portfolio Proposal_templates,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"Checking ;
Fiche de projet 
Audience auprès de certaines institutions ;
Appel à projet.","Renforcement des capacités des OSC membres  ;
Réalisation d'études/collecte de données sur la mise en œuvre des politiques publiques ;
Plaidoyer pour la prise en compte des recommandations issues des études.",Pince,1.0,1.0,1.0,Absence de proactivité,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
,International_cooperation Individual_donations Private_companies Sale_of_services Loans,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Yes,"par appels à projets
par négociation
par un consortium","De façon participative
Par des synergies de complémentarités
A travers des stratégies communautaires
Par la bonne collaboration avec les structures de l'Etat",4.0,No,Strategic_plan Other,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Collaboration avec nos partenaires ONG internationales
Surveillance de certains sites de bailleurs ou donateurs dont les lignes directrices sont cohérentes avec les nôtres","Les priorités stratégiques sont:
Le financement des actions d'éducation et de formation professionnelle de 1500 élèves et 1000 jeunes;
La mise en place de 10 fermes agroécologiques;
l'insertion socio-économique de 1000 jeunes dans des métiers divers;
La prise en charge alimentaire (nutrition) de 4000 élèves par des cantines scolaires et de 100 familles vulnérables par des rations sèches.",Auncun,1.0,1.0,1.0,"Le contexte sécuritaire, 
L'amenuisement des financements à causes de l'arrêt des fonds américains et les crises climatiques",38
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
0.0,International_cooperation Individual_donations Endowments,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,"Research online, network with potential funders, and donor websites, and social media.","Our strategy involves implementing programs that empower communities, building partnerships, and monitoring progress to achieve meaningful impact and sustainable change.",5.0,Yes,Strategic_plan Portfolio Donor_database Proposal_templates Comms_strategy Resource_mobilization_strategy,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"We identify funding opportunities through research, networking, and stakeholder engagement. We prioritize opportunities based on alignment with our strategic goals, project needs, and potential impact. A cross-functional team reviews and assesses each opportunity, ensuring effective allocation of resources and maximizing funding potential.","Our organization's strategic funding priorities for 2025-2026 include securing EU and other international funding, building partnerships, and diversifying funding streams.",,1.0,1.0,1.0,"Our organization faces challenges such as limited long-term funding support, lack of flexible funding for core operations, and difficulty in building strategic partnerships with donors and stakeholders.",41
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,International_cooperation Private_companies,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"A travers :
-des appels à proposition 
- d'un partenariat scéllé avec des ONG du NORD
- la mise en relation par des PTF qui nous accompagnent depuis près de cinq ans .","Une bonne planification dès le départ avec des objectifs très clair;
l'adhésion des acteurs au programme qui partagent la meme vision pour l'atteinte des resultats;
- une gestion rigoureuse et participative;
-Mise en place d'un dispositif de renforcement des capacités et de suivi -évaluation . 
- renforcer la  visibilité et la redevabilité;
- préparer la durabilité et la mise à l'échelle;
- préparer la pérennisation du programme .",2.0,No,Strategic_plan Comms_strategy,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"-Avoir une  vision stratégique clair 
-disposer d'un plan stratégique pluriannuel;
-identifier des personnes ressources pour appuyer l'équipe à -répondre  aux appels à projets;
-cartographier les bailleurs et opportunités de financement;
-répondre activement aux appels à projet soit individuellement ou en consortium ;
-Assurer la confiance et la redevabilité","-Sécurité alimentaire et nutrition;
-Climat et résilience ( agroécologie , gestion durable des terres et adaptation);
-Gouvernance et droits humains( droit foncier )
-Consolidation des  partenariats  stratégiques ;
-Renforcement des capacités des équipes pour la mobilisation des ressources ;",RAS,1.0,1.0,1.0,"-Problème de ressources humaines compétentes;
Comment constituer des réserves.",44
0.0,Public_funds Other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No,,,3.0,No,Strategic_plan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"KCOC는 기존 자금 조달에 의존하고, 모금을 위한 인력이 배정되어 있지 않아 새로운 자금 조달 기회를 찾는 것이 약하다.","정부 프로젝트 펀드 유치, 사회복지공동모금회 펀드 유치",사회복지공동모금회 대상,1.0,1.0,1.0,모금을 위한 조직 구성이 없다.,45
